"Vahdet inancına göre, 'kesret'i (çokluğu) yaratan ve tecelli oranlarını belirleyen nedir?","Bütün'ün, yani Tanrı'nın varoluşunun isim, fiil ve sıfatlarıdır."
Konuşmacının 'karakter benlik' için kullandığı ve onun gerçek olmadığını ima eden tanımlama nedir?,Onun bir yansıma olduğunu ve gerçekte var olmadığını belirtir.
Tasavvufta kullanılan 'halkın içinde Hak ile beraber olmak' tabiri ne anlama gelir?,"Toplum içinde yaşarken, arka planda her şeyin tek bir Bütün'ün yansıması olduğu bilincini korumaktır."
"Bir kişinin sabah uyandığında hem karakter benliğini (Burçin) hem de gözlemci benliğini (Mirelye) fark etmesinin yanı sıra, arka planda tutması gereken üçüncü ve en temel farkındalık nedir?","Aslında ne Burçin'in ne de Mirelye'nin hakikatte var olmadığı, tek var olanın Bütün (La mevcude illahu) olduğu gerçeğidir."
"Avcıoğlu'nun öğretisinde, özellikle manevi yola (süluk) girdikten sonra amellerin değerini belirleyen temel ilke nedir?",Ameller niyetlere göredir.
"Bir kişinin 'okuduğumu anlamıyorum' demesi, vahdet bakış açısıyla nasıl yorumlanmalıdır?",Kişinin tekamülünün iyiliği için o anda gerekli olan tecellinin bu olduğu ve şikayet etmek yerine teslim olunması gerektiği şeklinde yorumlanır.
"Meleklerin, 'Senin öğrettiğinden başka bizim bir ilmimiz yok' (La ilmelena illa maallentena) demelerine sebep olan olay neydi?","Allah'ın, Adem'e öğrettiği isimleri (Esma) saymasını istemesi ve meleklerin bu isimleri sayamamasıydı."
"Avcıoğlu'na göre, Allah'ın verdiği bir nimete karşı 'estağfurullah' demek veya onu reddetmek ne tür bir günahtır?",Gizli kibir ve şirktir.
Manevi teslimiyetin derin bir halini ifade etmek için kullanılan ve alnın aksine vücudun başka bir bölümüyle yapılan secde hangisidir?,Yanakla secde.
"Avcıoğlu'nun 'hayat bir gizem, çözülecek bir bilmece değil' sözü, kişinin geleceğiyle ilgili nasıl bir tutum sergilemesini öğütler?","Gelecekte ne olacağını düşünmek yerine, anın getirdiği gizemi ve deneyimi yaşamayı öğütler."
"Bir kişinin manevi yolculuğunda yaşadığı zorlu, içsel yüzleşmelerle dolu döneme ne ad verilir?",Ruhun karanlık gecesi.
"Vahdet bilincine ulaşıldığında, kişinin iç dünyasında biten en belirgin duygu veya eylem nedir?",Şikayet.
Tasavvuftaki manevi mertebeler sıralamasında 'Hakikat'ten sonra gelen ve dünyaya bilinçli bir şekilde geri dönmeyi ifade eden aşama hangisidir?,Marifet.
Şeyhinin 'Allah sana güç verseydi dünyada neyi değiştirirdin?' sorusuna Merkez Efendi'nin verdiği ve onun kemale erdiğini gösteren cevap neydi?,Her şeyi merkezinde bırakırdım.
"Merkez Efendi'nin, dergaha getirmek için dağdaki çiçeklerden sadece boynu bükük bir papatyayı koparmasının sebebi neydi?",Diğer tüm çiçeklerin zikir halinde olduğunu duyması ve onların zikrini bölmeye kıyamamasıydı.
"Şikayet ve gerginlik titreşiminin, insanın yaşamındaki zevkleri nasıl etkilediği belirtilmiştir?","Bu titreşim o kadar serttir ki, en basit zevklerden (bir simit yemek gibi) bile tam doyum alınmasını engeller."
"Birisi tarafından öfkelendirildiğimizde, Avcıoğlu'nun öğrettiği 'yara ve parmak' analojisine göre asıl canımızı acıtan nedir?","Dışarıdan gelen ve yaraya basan 'parmak' değil, kendi tenimizdeki mevcut 'yara'dır."
"Siddhartha'nın kendisine hakaret edenlere karşı tepkisiz kalmasını açıkladığı 'göl ve meşale' benzetmesinde, 'göl' neyi temsil eder?","Karakter benliğiyle özdeşleşmekten kurtulmuş, dış etkilerden yanmayan, dingin bir içsel hali temsil eder."
Avcıoğlu'na göre duanın veya zikrin temel işlevi nedir?,"Tanrı'yı değiştirmek değil, o duayı veya zikri yapan kişiyi değiştirmektir."
Spinoza'nın 'Amor Dei intellectualis' kavramı ne anlama gelir?,Akli sezgiye dayalı tanrısal aşk anlamına gelir; Tanrı'nın niteliklerini kendi içimizdeki yansımalarıyla akıl yoluyla sevgiyle bilmektir.
Avcıoğlu'nun kullandığı 'ketebe etmek' ve 'okumak' arasındaki fark nedir?,'Ketebe etmek' bir şeyi (kavramı) yoktan varlığa çıkarmaktır ve bu sadece Tanrı'ya mahsustur; insan ise Tanrı'nın ketebe ettiklerini sadece 'okur'.
"Konuşmacıya göre, kimsenin yalanlayamayacağı iki temel ve mesnetli hakikat nedir?","Birincisi, hiçliğin olmadığı ve varoluşun olduğu; ikincisi ise Sapiens'in gezegendeki diğer varlıklardan nitelik olarak farklı olduğudur."
"İnsanın 'Halife' (yeryüzünde vekil) kılınması, Avcıoğlu'nun yorumuna göre insana hangi temel yetkiyi vermiştir?","Bu dünyadaki her şeye anlam atama ve onu iyi, kötü, doğru, yanlış gibi kavramlarla belirleme yetkisini vermiştir."
Avcıoğlu'nun Besmele'deki 'Er-Rahman' ve 'Er-Rahim' arasına 've' bağlacı konulmasına karşı çıkmasının temel teolojik sebebi nedir?,"Araya 've' koymadan okunduğunda Tanrı'nın 'ne eril ne de dişil' olduğu, yani cinsiyet üstü olduğu anlamı çıkar; 've' ile okunduğunda ise 'eril ve dişil' anlamı çıkar ki bu eski pagan tanrı anlayışını anımsatır."
Esma'ül Hüsna'dan 'El Halik' isminin insandaki tecellisine bir örnek veriniz.,"İnsanın doğadaki mevcut parçaları (karbon, hidrojen vb.) bir araya getirerek doğada bulunmayan yeni bir şey (plastik sandalye gibi) ortaya çıkarmasıdır."
Esma'ül Hüsna'dan 'El Kuddüs' isminin anlamı nedir?,"Lekesiz, her türlü eksiklikten ve kusurdan arınmış demektir."
Hem güvenen hem de güvenilen anlamına gelen Esma'ül Hüsna ismi hangisidir?,El-Mü'min.
"'El Fettah' ismi, kapıları açmanın yanı sıra hangi anlamlara gelir?",Anlaşmazlıkları çözebilen ve yeni bilinçler açabilen anlamlarına gelir.
Gücü yettiği halde sakin ve şefkatli olabilen anlamına gelen Esma hangisidir?,El-Halim.
"Sadece biyolojik gözle görmeyi değil, bir şeyin derinlemesine anlamını kavramayı ifade eden Esma hangisidir?",El-Basir.
"Karşılıklı aidiyet içeren, hem seven (aşık) hem de sevilen (maşuk) anlamına gelen derin bağlılığı ifade eden Esma hangisidir?",El-Vedud.
"İnsanın, ölmüş toprakları sulama sistemleriyle canlandırarak ürün vermesini sağlaması, hangi Esma'nın bir tecellisi olarak yorumlanabilir?",El-Bais (ölüleri dirilten).
"Avcıoğlu'nun düşüncesinde, Tanrı ve alem ilişkisi nasıl bir hiyerarşi içinde görülür?",Tanrı-Sapiens-Alem şeklinde bir hiyerarşi vardır; Sapiens nitelik farkından dolayı Tanrı ile alem arasında bir konumdadır ve bu 'El-Hak' (gerçek) isminin tecellisidir.
"Zatında tek olan, parçalanamayan ve artırılamayan bütün anlamına gelen Esmalar hangileridir?",El-Ehad ve Es-Samed.
Şifa veren anlamına gelen ve Kur'an'da geçmesine rağmen bazı klasik listelerde yer almayan Esma hangisidir?,Eş-Şafi.
"Spinoza tarzı bir bakış açısıyla, insanların Esma'ül Hüsna listesi yapabilmesinin temel sebebi nedir?","Bu vasıflar zaten insanda tecelli etmemiş ve insan tarafından kavranmamış olsaydı, böyle bir listenin yapılması mümkün olmazdı."
"Diyalogda 'ilahi kaos' olarak adlandırılan durumun, tekamül sürecindeki işlevi nedir?","İnsanlığın çatışmalar ve zıtlıklar (diyalektik) yoluyla öğrenmesini, gelişmesini ve tekamül etmesini sağlamaktır."
"Avcıoğlu, 'ateistlerle aynı cümleyi söylüyorum' derken hangi cümleyi kastetmektedir ve bu cümlenin onun felsefesindeki farkı nedir?","Cümle, 'Tanrı kavramı insan aklının uydurmasıdır' şeklindedir; fark ise Avcıoğlu'nun bunu, insanın Tanrı'nın Halifesi olarak anlam belirleme yetkisine sahip olduğu için söylediğini belirtmesidir."
"Karakter benliğin _____ ile özdeşleşmekten kurtulmak, öğretinin temel hedeflerinden biridir.",sanal acıları ve ızdırapları
Avcıoğlu'na göre gerçekliğe direnen kişiyi eninde sonunda ne bekler?,"Gerçeklik, onu perçeminden tutup sürükleyerek götürür."
Bir mürşidin tek yönlü olamayacağını ve yeri geldiğinde _____ yönünü de göstermesi gerektiğini belirten ifade nedir?,Celal yönünü.
Avcıoğlu'nun kendisi için 'lekesiz' koruduğunu söylediği iki şey neydi?,Anlam zikrini (öğretisini) insanlara karşılıksız anlatmak ve aşkı.
Bir kişinin 'varoluşsal benliği' ile temasının neden çok kısa süreli (2-3 saniye) olması gerektiği belirtilmiştir?,"Daha uzun bir temasın Sapiens'in devrelerini yakabileceği, yani zihinsel ve sinirsel yapısının buna dayanamayacağı belirtilmiştir."
