Sıra,Ürün Adı,Toplam Ürün Kutu Sayısı,Toplam Ürün İçerik Sayısı,Detay,yer,SheetName
1,%5 DEKSTROZ 500 ML.,4,4,SKT-2024-12:4 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
2,%20 DEKSTROZ 500 ML.,3,3,"SKT-2025-01:2 kutu, SKT-2024-11:1 kutu",SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
3,%5 DEKSTROZ 250 ML.,6,6,SKT-2025-01:6 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
4,%0.9 İZOTONİK SODYUM KLORÜR 500 ML.,7,7,SKT-2025-01:7 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
5,%0.9 İZOTONİK SODYUM KLORÜR 1000 ML.,3,3,SKT-2024-11:3 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
6,İZOLEN DENGELİ 500 ML.,3,3,SKT-2025-01:3 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
7,İzolen-S PH 7.4 ELEKTROLİT ÇÖZELTİ 500 ML.,3,3,SKT-2024-11:3 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
8,CORDARONE BT 200 MG 30 TABLET,2,60,SKT-2024-11:2 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
9,BRUFEN 600 MG 20 FILM TABLET,1,20,SKT-2024-10:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
10,ARVELES 25 MG 20 FILM TABLET,1,10,SKT-2024-12:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
11,BUSCOPAN 10 MG 20 TB,3,50,SKT-2024-10:3 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
12,PREDNOL-L 40 MG FLAKON,1,1,SKT-2024-11:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
13,MİDAJECT 15MG/3ML 5 AMP,1,2,SKT-2024-11:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
14,DRAMAMINE 50 MG 5 AMPUL,1,4,SKT-2024-12:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
15,"XANAX 0,5 MG 30 TABLET",1,20,SKT-2021-04:1 kutu,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
16,DİAZEPAM DESİTİN RECTAL TUBE 5 MG,1,1,?,SON KULLANMA TARİHİ GEÇEN İLAÇLAR,TARİHİ GEÇEN İLAÇLAR
1,SEDEVER 5MG/5ML 5 AMP.,1,3,SKT-2026-04:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
2,DIAKSI 5 MG /2.5 ML REKTAL COZELTI,1,3,SKT-2026-05:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
3,ATROPİN 1MG/1ML 10 AMP.,1,10,SKT-2026-07:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
4,ADRENALIN 1 MG 10 AMPUL,1,10,SKT-2028-03:1 kutu,NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
5,"ADRENALIN 0,5 MG 10 AMPUL",6,54,"SKT-2027-04:3 kutu, SKT-2027-01:2 kutu, SKT-2028-03:1 kutu",NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
6,PETHOLAN 100 MG/2ML 5 AMP.,2,7,"SKT-2027-02:1 kutu, SKT-2026-09:1 kutu",NARKOTİK İLAÇ ÇEKMECESİ,N.ÇEKMECESİ
